Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,25 Sept 2024,4,Ravijith,Good buy.. looks sturdy 
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,22 Sept 2024,5,Siraj Athaniya,"# Nice shirt 
# decent look
# fabric awesome "
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,19 Aug 2024,5,Naman Mathur,"Feels like premium quality, perfect fit"
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,24 Jan 2024,5,Myntra Customer,Wow nice shirt cloth very good quality
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,5 Feb 2025,4,Aproop M,"Loved the colour tone & fit. Looks so dope 
"
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,4 Sept 2024,5,Shashank Chaudhari,"Perfect fitting, good quality 👌🏼"
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,9 July 2024,5,Venkat,Quality is best and worth of money 
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,21 June 2024,4,Badhri,Nice shirt good quality 
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,3 July 2024,5,Santosh Kumbar,Shirt quality is good and more attractive.
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,6 July 2023,5,Shrikar Badganchi,The colour of Shirts looks Fascinating and the quality of the fabric is Good.
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,9 July 2024,5,Venkat,Quality is best and worth of money 
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,18 Dec 2024,5,Myntra Customer,Always loving this brand quality
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,16 Oct 2024,4,Myntra Customer,Best buy this one for me 
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,17 Nov 2024,4,Myntra Customer,"Superb ni e fitting 
"
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,6 Nov 2023,3,Myntra Customer,Shirt was little short and little tight as per the L size
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,3 June 2024,5,Myntra Customer,"Very good quality, highly recommended "
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,4 June 2024,5,Myntra Customer,Comfortable tahirt good feel of cloth
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,10 May 2024,5,Myntra Customer,Very nice I am satisfied full 
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,26 May 2024,5,Myntra Customer,This shirt is too good.. quality is good 
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,27 Sept 2024,5,Myntra Customer,Good quality. Loved the shirt.
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,2 June 2024,5,Myntra Customer,"Best comany i ever seen,,⭐"
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,27 Sept 2024,5,Myntra Customer,Sooo breathable fabric and very good one
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,10 July 2024,4,Myntra Customer,Good quality. Worth buying
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,5 Sept 2024,5,Myntra Customer,"Awesome, Nice fitting Best quality "
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,6 Oct 2024,5,Myntra Customer,Good one and as per image.
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,22 July 2023,3,Myntra Customer,
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,6 Sept 2024,5,Myntra Customer,Such an amazing shirt.
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,19 Jan 2025,5,Myntra Customer,Amazing colour and Fit ! 
Buy RARE RABBIT Men Auxfo Slim Fit Button Down Collar Cotton Shirt  - Shirts for Men 23136562 | Myntra,4.2,₹1999,21 Nov 2024,5,Myntra Customer,Loved the fit and colour 
